domain,target,method,evaluation,records,DOI_groups,R2,R2_CI_low,R2_CI_high,MAE,MAE_CI_low,MAE_CI_high,RMSE,RMSE_CI_low,RMSE_CI_high,bias,bias_CI_low,bias_CI_high
Mixed Pb-Sn,PCE,Subgroup calibrator,Publication-balanced,98,25,-0.07542819340883433,-0.8225411994330429,0.22362425196211483,3.838381877222493,3.0014228050316833,4.751433024818528,4.633906634248185,3.688796796384934,5.546222542119252,-2.321479025078958,-3.554889665426791,-0.9231554219223065
Mixed Pb-Sn,Voc,Subgroup calibrator,Device-level,98,25,-0.018954166852521714,-0.3814987695091513,0.21423061336344748,0.10650171365703459,0.06823959671998898,0.1487747181805369,0.153804114120431,0.09885797855753575,0.19902933581251478,0.041634678487141655,-1.8956836576380482e-05,0.08328415482377631
Mixed Pb-Sn,Voc,Subgroup calibrator,Publication-balanced,98,25,0.00446583128171929,-0.7038084603606936,0.26529658198660666,0.10253927390310506,0.06768977729095398,0.13712329387519853,0.14596124073301223,0.09954444065047255,0.18515325700954183,0.030099723356338197,-0.017666147539214687,0.07775911704885331
Mixed Pb-Sn,Jsc,Subgroup calibrator,Device-level,98,25,-0.09069141315632656,-2.5897042790609,0.17156391571104468,4.989899573985093,3.8191913318963193,6.5111573260334135,6.272316757486432,4.449060866987244,8.453913391743042,-2.8047886580132024,-4.666136546579562,-0.7068474294770165
Mixed Pb-Sn,Jsc,Subgroup calibrator,Publication-balanced,98,25,-0.44112101718404206,-3.1748835324490887,0.05554791088248337,4.962298045034232,4.042568601733144,6.058142715817454,5.95001163766712,4.702859517366137,7.240966102025152,-3.817893080615322,-5.087104128886799,-2.4265530695973374
Mixed Pb-Sn,FF,Subgroup calibrator,Device-level,98,25,-0.2083490494053819,-1.0399693525661429,0.12157995220731092,6.801173367062426,5.4750342948891735,8.19831282980679,8.332525214035044,6.853554064053115,9.804298514201813,-3.7209236293454566,-6.030244149956769,-1.5989393743259688
Mixed Pb-Sn,FF,Subgroup calibrator,Publication-balanced,98,25,-0.48880954568986335,-1.6146581886107827,0.02922436067095118,7.345665018311634,5.914998691654851,8.987638234720848,8.863379746181293,7.208995576161606,10.526745379473798,-5.072892577502789,-7.278427186796461,-2.9872646464552512
Mixed Pb-Sn,PCE,Domain expert,Device-level,98,25,-0.22608334490236137,-1.1756476874237027,0.053980501178400066,4.2507742684330045,3.291221313870201,5.313083970625537,5.143005763071006,4.105684189095953,6.143296770523275,-2.207730512827554,-3.848104720198643,-0.6342473980465532
Mixed Pb-Sn,PCE,Domain expert,Publication-balanced,98,25,-0.5369461793306245,-1.9302094252748792,0.02153534908583884,4.537330434753139,3.373280380543634,5.703682634449565,5.539695584398501,4.166664541763841,6.6609426517038886,-3.186595899165788,-4.673907458148252,-1.644683265877573
Mixed Pb-Sn,Voc,Domain expert,Device-level,98,25,-0.060777064529777824,-0.2641796481340528,0.05430652047835106,0.10869361387412749,0.06789182934429444,0.15024603040797918,0.1569288124810532,0.091032376639173,0.20521686235681713,-0.004362822574877276,-0.05135125678578353,0.049649281733257895
Mixed Pb-Sn,Voc,Domain expert,Publication-balanced,98,25,-0.14035467482156117,-0.5383918598984537,0.06518179444448774,0.10668768686484292,0.07098590888637013,0.15013138436418758,0.15621741058735314,0.09768331153234712,0.21583922369693326,-0.027328562131363903,-0.0851998661215805,0.020392749181043498
Mixed Pb-Sn,Jsc,Domain expert,Device-level,98,25,0.00846645460940354,-2.3334321148340624,0.2259403296527563,4.770822169500967,3.5425588916724333,6.35745956151961,5.980407002810176,4.166087816425205,8.103193434318683,-2.746357408628724,-4.498978214132726,-0.8399735888818726
Mixed Pb-Sn,Jsc,Domain expert,Publication-balanced,98,25,-0.2840336419302043,-2.6994207934934673,0.13994224280092352,4.685109607851241,3.715588791067412,5.747375881824106,5.616371028825364,4.348043776103999,6.945090037294162,-3.627300003276921,-4.887505341124397,-2.2849239667246417
Mixed Pb-Sn,FF,Domain expert,Device-level,98,25,-0.4575480862030441,-1.4256487258944275,0.02919999609638695,7.499384249065134,5.828312798138282,9.201626267914842,9.151491483605124,7.202142464305785,10.997767684898596,-4.593360765509991,-7.033711016707858,-2.1147295621982156
Mixed Pb-Sn,FF,Domain expert,Publication-balanced,98,25,-1.0020774248213873,-2.91682423626898,-0.11603327717135796,8.27352070829019,6.2344592126379235,10.648298819763218,10.278274656993432,7.736016996776265,12.818679960491943,-6.14767352175692,-9.10885658609832,-3.518275988932545
Mixed Pb-Sn,PCE,Convex mixture,Device-level,98,25,-0.013036840511875258,-0.499362395374355,0.16816096945122905,3.7836488192112565,2.935367462696878,4.871129006351969,4.674871030702866,3.519143378284268,5.921139917903884,-1.4478591667065148,-2.86959946412638,-0.13728147550181627
Mixed Pb-Sn,PCE,Convex mixture,Publication-balanced,98,25,-0.07542819340883433,-0.7634848286530849,0.20092487235921191,3.838381877222493,2.996596571598871,4.783369959465599,4.633906634248185,3.698060331769896,5.580431951022364,-2.321479025078958,-3.4884839744335183,-1.1030633411190505
Mixed Pb-Sn,Voc,Convex mixture,Device-level,98,25,-0.018954166852521714,-0.3924414049658867,0.23307290899844268,0.10650171365703459,0.06540163169677765,0.14732399107508284,0.153804114120431,0.09797698120535756,0.19643705949450202,0.041634678487141655,-0.0008913029195447893,0.08572363630358382
Mixed Pb-Sn,Voc,Convex mixture,Publication-balanced,98,25,0.00446583128171929,-0.6435215202441817,0.2843746350004408,0.10253927390310506,0.06931378100650934,0.13915015587863935,0.14596124073301223,0.10101190656178859,0.18630460976393545,0.030099723356338197,-0.017449962676654305,0.07828620760385453
Mixed Pb-Sn,Jsc,Convex mixture,Device-level,98,25,-0.09069141315632656,-2.5239045775527993,0.16265795695625684,4.989899573985093,3.7643371989862167,6.596164374394984,6.272316757486432,4.438288537101523,8.54507842192082,-2.8047886580132024,-4.626957079761887,-0.41739444117622837
Mixed Pb-Sn,Jsc,Convex mixture,Publication-balanced,98,25,-0.44112101718404206,-3.0140082066595753,0.0506499372450062,4.962298045034232,3.8873814307109327,5.998062551690429,5.95001163766712,4.587624690989395,7.228282874914592,-3.817893080615322,-5.244403412923924,-2.3789551899246115
