domain,target,candidate,mean_DOI_MAE,SE_DOI_MAE,n_DOI,minimum_mean_plus_one_SE,within_one_SE,selected,alpha
Mixed Pb-Sn,Voc,alpha=0.20,0.11785278345839766,0.013288057541443628,57,0.1260075954246315,True,False,0.2
Mixed Pb-Sn,Voc,alpha=0.25,0.11652671435080413,0.01321261882533812,57,0.1260075954246315,True,False,0.25
Mixed Pb-Sn,Voc,alpha=0.30,0.11539197334588368,0.013142831485291943,57,0.1260075954246315,True,False,0.3
Mixed Pb-Sn,Voc,alpha=0.35,0.1144747268399853,0.013079447068028714,57,0.1260075954246315,True,False,0.35
Mixed Pb-Sn,Voc,alpha=0.40,0.11373450374161616,0.013023658194614186,57,0.1260075954246315,True,False,0.4
Mixed Pb-Sn,Voc,alpha=0.45,0.1133095520518714,0.012967213702716605,57,0.1260075954246315,True,False,0.45
Mixed Pb-Sn,Voc,alpha=0.50,0.11319673056718214,0.012915606435272432,57,0.1260075954246315,True,False,0.5
Mixed Pb-Sn,Voc,alpha=0.55,0.11311227375986813,0.01289532166476336,57,0.1260075954246315,True,False,0.55
Mixed Pb-Sn,Voc,alpha=0.60,0.11312472865463324,0.01289954636404408,57,0.1260075954246315,True,False,0.6
Mixed Pb-Sn,Voc,alpha=0.65,0.11345572163716285,0.012905802717889393,57,0.1260075954246315,True,False,0.65
Mixed Pb-Sn,Voc,alpha=0.70,0.11407114763143701,0.012961655176789174,57,0.1260075954246315,True,False,0.7
Mixed Pb-Sn,Voc,alpha=0.75,0.11477439862395007,0.01304241211154021,57,0.1260075954246315,True,False,0.75
Mixed Pb-Sn,Voc,alpha=0.80,0.11574383631962111,0.01313021644448944,57,0.1260075954246315,True,False,0.8
Mixed Pb-Sn,Voc,alpha=0.85,0.11693364395746411,0.013227350365244047,57,0.1260075954246315,True,False,0.85
Mixed Pb-Sn,Voc,alpha=0.90,0.11819681621214446,0.013347109833847914,57,0.1260075954246315,True,False,0.9
Mixed Pb-Sn,Voc,alpha=0.95,0.12018279020591685,0.013396115299622027,57,0.1260075954246315,True,False,0.95
Mixed Pb-Sn,Voc,alpha=1.00,0.12270813203998758,0.013448699987036525,57,0.1260075954246315,True,False,1.0
Mixed Pb-Sn,Jsc,alpha=0.00,3.961194867113727,0.3682987175723076,57,4.301503685323002,True,True,0.0
Mixed Pb-Sn,Jsc,alpha=0.05,3.9497469648948584,0.3695599192397946,57,4.301503685323002,True,False,0.05
Mixed Pb-Sn,Jsc,alpha=0.10,3.941129803012539,0.37088067281077536,57,4.301503685323002,True,False,0.1
Mixed Pb-Sn,Jsc,alpha=0.15,3.9329772379009458,0.37253715319226904,57,4.301503685323002,True,False,0.15
Mixed Pb-Sn,Jsc,alpha=0.20,3.9264356407406136,0.37450029964263787,57,4.301503685323002,True,False,0.2
Mixed Pb-Sn,Jsc,alpha=0.25,3.922182134391643,0.37667032458355537,57,4.301503685323002,True,False,0.25
Mixed Pb-Sn,Jsc,alpha=0.30,3.918659242547046,0.3791123289640244,57,4.301503685323002,True,False,0.3
Mixed Pb-Sn,Jsc,alpha=0.35,3.9175272161579384,0.3815971513089463,57,4.301503685323002,True,False,0.35
Mixed Pb-Sn,Jsc,alpha=0.40,3.917175723875213,0.3843279614477897,57,4.301503685323002,True,False,0.4
Mixed Pb-Sn,Jsc,alpha=0.45,3.921837274061933,0.3867753895280575,57,4.301503685323002,True,False,0.45
Mixed Pb-Sn,Jsc,alpha=0.50,3.9332456980369814,0.3889589421582537,57,4.301503685323002,True,False,0.5
Mixed Pb-Sn,Jsc,alpha=0.55,3.9489407216593437,0.39107147499339623,57,4.301503685323002,True,False,0.55
Mixed Pb-Sn,Jsc,alpha=0.60,3.9740400984785405,0.3920675214544386,57,4.301503685323002,True,False,0.6
Mixed Pb-Sn,Jsc,alpha=0.65,4.001035557472896,0.39340731866602247,57,4.301503685323002,True,False,0.65
Mixed Pb-Sn,Jsc,alpha=0.70,4.028925201995246,0.3951699340900713,57,4.301503685323002,True,False,0.7
Mixed Pb-Sn,Jsc,alpha=0.75,4.058592365191545,0.3971999938329952,57,4.301503685323002,True,False,0.75
Mixed Pb-Sn,Jsc,alpha=0.80,4.088371598507895,0.3996536003816571,57,4.301503685323002,True,False,0.8
Mixed Pb-Sn,Jsc,alpha=0.85,4.118387053970751,0.40251043749110443,57,4.301503685323002,True,False,0.85
Mixed Pb-Sn,Jsc,alpha=0.90,4.148913162744436,0.40572305941089215,57,4.301503685323002,True,False,0.9
Mixed Pb-Sn,Jsc,alpha=0.95,4.1814969689928,0.4091505247036201,57,4.301503685323002,True,False,0.95
Mixed Pb-Sn,Jsc,alpha=1.00,4.2147745162291175,0.41290778196503813,57,4.301503685323002,True,False,1.0
Mixed Pb-Sn,FF,alpha=0.00,7.305892613592672,0.8074659614208992,57,7.676842390494748,True,True,0.0
Mixed Pb-Sn,FF,alpha=0.05,7.270879706383563,0.8001623421177024,57,7.676842390494748,True,False,0.05
Mixed Pb-Sn,FF,alpha=0.10,7.237951673163818,0.7932770338899048,57,7.676842390494748,True,False,0.1
Mixed Pb-Sn,FF,alpha=0.15,7.206539037205351,0.7867030970976059,57,7.676842390494748,True,False,0.15
Mixed Pb-Sn,FF,alpha=0.20,7.17696061005059,0.7804206253546179,57,7.676842390494748,True,False,0.2
Mixed Pb-Sn,FF,alpha=0.25,7.1479778766092945,0.7746009520919999,57,7.676842390494748,True,False,0.25
Mixed Pb-Sn,FF,alpha=0.30,7.119849402894353,0.7692536396922035,57,7.676842390494748,True,False,0.3
Mixed Pb-Sn,FF,alpha=0.35,7.09352734572137,0.7643843994502156,57,7.676842390494748,True,False,0.35
Mixed Pb-Sn,FF,alpha=0.40,7.067795778521749,0.7600084881867464,57,7.676842390494748,True,False,0.4
Mixed Pb-Sn,FF,alpha=0.45,7.043850518007057,0.7561482380986744,57,7.676842390494748,True,False,0.45
Mixed Pb-Sn,FF,alpha=0.50,7.022306210973131,0.7528031368822372,57,7.676842390494748,True,False,0.5
Mixed Pb-Sn,FF,alpha=0.55,7.003909925757198,0.7498188263931408,57,7.676842390494748,True,False,0.55
Mixed Pb-Sn,FF,alpha=0.60,6.986876707514114,0.7473510908113139,57,7.676842390494748,True,False,0.6
Mixed Pb-Sn,FF,alpha=0.65,6.971728953555652,0.7451735473859225,57,7.676842390494748,True,False,0.65
Mixed Pb-Sn,FF,alpha=0.70,6.96087365442837,0.7428963907413068,57,7.676842390494748,True,False,0.7
Mixed Pb-Sn,FF,alpha=0.75,6.952918966518214,0.7411713868478663,57,7.676842390494748,True,False,0.75
Mixed Pb-Sn,FF,alpha=0.80,6.945097200263864,0.7400676253119516,57,7.676842390494748,True,False,0.8
Mixed Pb-Sn,FF,alpha=0.85,6.937275434009514,0.7395669564852337,57,7.676842390494748,True,False,0.85
Mixed Pb-Sn,FF,alpha=0.90,6.938343931235254,0.7394309463596739,57,7.676842390494748,True,False,0.9
Mixed Pb-Sn,FF,alpha=0.95,6.943515198672689,0.7394847369656892,57,7.676842390494748,True,False,0.95
Mixed Pb-Sn,FF,alpha=1.00,6.953144251906768,0.7394970515115971,57,7.676842390494748,True,False,1.0
