stratum,domain,target,method,records,DOI_groups,R2,MAE,RMSE,bias,inferential_status
Formula unseen historically,Mixed Pb-Sn,FF,Domain expert,34,9,-1.8785673936736722,11.524690905858353,13.48840690438859,-10.702157695975608,descriptive only
Formula unseen historically,Mixed Pb-Sn,PCE,Convex mixture,34,9,-0.24953494686180955,5.226513502003183,5.847963491279147,-3.42125132630389,descriptive only
Formula unseen historically,Mixed Pb-Sn,Voc,Convex mixture,34,9,0.30412939617932344,0.10455401359067512,0.1470947457407153,-0.014964292897966877,descriptive only
Formula unseen historically,Mixed Pb-Sn,Jsc,Convex mixture,34,9,-0.0817795336366931,5.645257832270859,7.202142342097985,-3.4477297064662857,descriptive only
Formula unseen historically,Mixed Pb-Sn,FF,Convex mixture,34,9,-0.7798373009021835,9.275288011080274,10.60626832695541,-7.660857653301895,descriptive only
Formula unseen historically,Mixed Pb-Sn,PCE,Development-selected policy,34,9,-0.24953494686180955,5.226513502003183,5.847963491279147,-3.42125132630389,descriptive only
Formula unseen historically,Mixed Pb-Sn,Voc,Development-selected policy,34,9,0.30412939617932344,0.10455401359067512,0.1470947457407153,-0.014964292897966877,descriptive only
Formula unseen historically,Mixed Pb-Sn,Jsc,Development-selected policy,34,9,-0.0817795336366931,5.645257832270859,7.202142342097985,-3.4477297064662857,descriptive only
Formula unseen historically,Mixed Pb-Sn,FF,Development-selected policy,34,9,-0.7798373009021835,9.275288011080274,10.60626832695541,-7.660857653301895,descriptive only
Feature OOD <=95th percentile,Sn-only,PCE,Frozen global,76,13,0.1978076581748428,2.037543479264639,2.4151505116031977,-0.7286883039613007,descriptive only
Feature OOD <=95th percentile,Sn-only,Voc,Frozen global,76,13,-0.3665464702616863,0.1633829828170344,0.19659583131125855,-0.0495546812061083,descriptive only
Feature OOD <=95th percentile,Sn-only,Jsc,Frozen global,76,13,0.32357844102110356,3.6023279430593647,4.833409802007651,-0.14426013967305845,descriptive only
Feature OOD <=95th percentile,Sn-only,FF,Frozen global,76,13,0.5050524849656752,7.83929546712702,11.02491947232325,-0.15592356739495947,descriptive only
Feature OOD <=95th percentile,Sn-only,PCE,Subgroup calibrator,76,13,0.1978076581748428,2.037543479264639,2.4151505116031977,-0.7286883039613007,descriptive only
Feature OOD <=95th percentile,Sn-only,Voc,Subgroup calibrator,76,13,-0.3665464702616863,0.1633829828170344,0.19659583131125855,-0.0495546812061083,descriptive only
Feature OOD <=95th percentile,Sn-only,Jsc,Subgroup calibrator,76,13,0.32357844102110356,3.6023279430593647,4.833409802007651,-0.14426013967305845,descriptive only
Feature OOD <=95th percentile,Sn-only,FF,Subgroup calibrator,76,13,0.5050524849656752,7.83929546712702,11.02491947232325,-0.15592356739495947,descriptive only
Feature OOD <=95th percentile,Sn-only,PCE,Domain expert,76,13,-0.0377547620010692,2.394473482244845,2.7469598559951645,-0.6731971935155182,descriptive only
