scheme,reference_condition,candidate_condition,target,evaluation_lens,records,DOI_groups,reference_R2,candidate_R2,delta_R2_candidate_minus_reference,reference_MAE,candidate_MAE,MAE_change_percent_candidate_vs_reference,reference_RMSE,candidate_RMSE,RMSE_change_percent_candidate_vs_reference,reference_R2_CI_low,reference_R2_CI_high,candidate_R2_CI_low,candidate_R2_CI_high,delta_R2_candidate_minus_reference_CI_low,delta_R2_candidate_minus_reference_CI_high,reference_MAE_CI_low,reference_MAE_CI_high,candidate_MAE_CI_low,candidate_MAE_CI_high,MAE_change_percent_candidate_vs_reference_CI_low,MAE_change_percent_candidate_vs_reference_CI_high,reference_RMSE_CI_low,reference_RMSE_CI_high,candidate_RMSE_CI_low,candidate_RMSE_CI_high,RMSE_change_percent_candidate_vs_reference_CI_low,RMSE_change_percent_candidate_vs_reference_CI_high
DOI-grouped 5-fold,Random Forest | Full DOI,CatBoost | Full DOI,PCE,Device-level,33175,6368,0.441069133656941,0.45107103236284884,0.010001898705907841,2.950031188931207,2.938920701394512,-0.37662271430833894,3.871519106600232,3.836722905630149,-0.8987738407583157,0.41891173667699516,0.46218179888925154,0.4314274876226856,0.4711520320094089,0.0007642086833083845,0.019847016848466927,2.892424836194569,3.006420361382547,2.882150220847452,2.9898949044969725,-1.4203486925424735,0.6036009337925329,3.7958438889451904,3.9443211885963962,3.7657791529568616,3.904092820885879,-1.7594465404556952,-0.07130246463315391
Chronological >2018,Random Forest | Full DOI,CatBoost | Full DOI,Voc,Publication-balanced,9116,1735,0.4877471276449501,0.5115736426505177,0.02382651500556765,0.08370875559924769,0.08031190113754318,-4.057944043472361,0.1179451920320773,0.11516952793245527,-2.353350782511876,0.42786867798764405,0.5405066939086217,0.45363929196420866,0.5611568087731998,0.0034419074908019127,0.04377549016319646,0.08077408715066439,0.08729136531867329,0.07729230685374289,0.0836990114929253,-5.7721599697494606,-2.2359370437312878,0.1128205376471768,0.12383475344166896,0.10984730910779625,0.12119351510716668,-4.280864532930008,-0.36347121129481114
Chronological >2018,Random Forest | Full DOI,CatBoost | Full DOI,Jsc,Device-level,9116,1735,0.5098637117319664,0.538598872027417,0.028735160295450535,2.6574708520031525,2.5538219339072863,-3.90028428788739,3.712488547892122,3.6020191697363613,-2.975615324617853,0.4412204047776737,0.5633921751066069,0.47950874836677204,0.5867177480779704,0.01123442281899556,0.04749618980897073,2.55020356613958,2.7793569268748337,2.4512822476738276,2.6674035661514672,-6.010926463563998,-1.784087842681391,3.5323572741155402,3.9076075945304236,3.4235103174832178,3.791276757584793,-4.834932603474582,-1.1722371038988046
Chronological >2018,Random Forest | Full DOI,CatBoost | Full DOI,Jsc,Publication-balanced,9116,1735,0.4995337776668398,0.5273002736555501,0.027766495988710282,2.676871855645823,2.5842628110539567,-3.459599472292385,3.6948132612548936,3.5908542973285154,-2.8136459565231142,0.4460572574584891,0.5469429272586094,0.4757102717615193,0.5691656527726879,0.010345777539869863,0.04619593958164443,2.577766379971497,2.778789124624512,2.4932033175868824,2.687037991366736,-5.239431008968408,-1.5926889098510015,3.5367018244345196,3.851391835439651,3.443843782767175,3.755063478480093,-4.59992802538841,-1.0655219009684334
Chronological >2018,Random Forest | Full DOI,CatBoost | Full DOI,FF,Device-level,9116,1735,0.17735143613978022,0.21943398311984397,0.04208254698006375,7.748832059540273,7.408870946433606,-4.387256176085408,10.353597700730361,10.085302613952093,-2.5913223068281144,0.12643680371680613,0.22644065366930877,0.17341889824460624,0.2675113791018845,0.018218178252746693,0.06811180129418898,7.482506596556481,8.020097357999251,7.130761591940301,7.692610473420511,-6.269169427401271,-2.5971705953208315,9.935633636837837,10.748804904886523,9.650535741134167,10.486594647862962,-4.113476033433393,-1.1575013306698305
Chronological >2018,Random Forest | Full DOI,CatBoost | Full DOI,FF,Publication-balanced,9116,1735,0.1741975687182281,0.23143070330780324,0.05723313458957513,7.801343018130776,7.417917617906391,-4.914864009097952,10.310361849360524,9.946661633796952,-3.527521350631646,0.12650880122212432,0.21999342481735704,0.18942077264414772,0.2706977399842922,0.03409455242748213,0.08056435392659005,7.561774057168912,8.046520511495435,7.202327034632308,7.659710163449062,-6.429005483995801,-3.4514754745323084,9.968699355959956,10.646672777594127,9.60854704925111,10.311623383844417,-4.909177040292054,-2.1238056423137976
Chronological >2018,Random Forest | Full DOI,Random Forest | Full DOI + recency,PCE,Device-level,9116,1735,0.40439775380689313,0.40439775380689313,0.0,3.1541720274669647,3.154172027466965,2.220446049250313e-14,4.038182859207982,4.038182859207982,0.0,0.356911373324634,0.45767627417090334,0.35691137332463413,0.45767627417090345,-2.220446049250313e-16,2.220446049250313e-16,3.0420986493029654,3.26856918991306,3.0420986493029654,3.2685691899130593,-3.3306690738754696e-14,2.220446049250313e-14,3.890644503260934,4.1663034500459615,3.8906445032609334,4.1663034500459615,-2.220446049250313e-14,2.220446049250313e-14
Chronological >2018,Random Forest | Full DOI,Random Forest | Full DOI + recency,PCE,Publication-balanced,9116,1735,0.40449741961460384,0.40449741961460384,0.0,3.1562973080879466,3.1562973080879466,0.0,4.009157841634404,4.009157841634404,0.0,0.36463431210565084,0.44477561818699474,0.36463431210565095,0.4447756181869946,-2.220446049250313e-16,2.220446049250313e-16,3.0666755499947436,3.2511586886729127,3.0666755499947422,3.2511586886729127,-4.440892098500626e-14,2.220446049250313e-14,3.891899457743497,4.125407081579816,3.8918994577434964,4.125407081579816,-2.220446049250313e-14,2.220446049250313e-14
Chronological >2018,Random Forest | Full DOI,Random Forest | Full DOI + recency,Voc,Device-level,9116,1735,0.4685586272649903,0.4685586272649903,0.0,0.08403393701194543,0.08403393701194545,2.220446049250313e-14,0.12065195092729936,0.12065195092729936,0.0,0.40148504630853793,0.5306295325826429,0.40148504630853804,0.5306295325826431,-2.220446049250313e-16,2.220446049250313e-16,0.08002354667795111,0.087962440310794,0.08002354667795109,0.087962440310794,-3.358424649491097e-14,4.440892098500626e-14,0.11404319889650968,0.12705713583998615,0.1140431988965097,0.12705713583998612,-2.220446049250313e-14,2.220446049250313e-14
Chronological >2018,Random Forest | Full DOI,Random Forest | Full DOI + recency,Voc,Publication-balanced,9116,1735,0.4877471276449501,0.4877471276449502,1.1102230246251565e-16,0.08370875559924769,0.08370875559924772,2.220446049250313e-14,0.1179451920320773,0.1179451920320773,0.0,0.4289048971479003,0.5385751678107232,0.4289048971479002,0.5385751678107231,-2.220446049250313e-16,1.1102230246251565e-16,0.08042546120040245,0.08694361248579412,0.08042546120040248,0.08694361248579412,-4.440892098500626e-14,4.440892098500626e-14,0.11242780544101852,0.12347317671373023,0.11242780544101853,0.12347317671373023,-1.1102230246251565e-14,2.220446049250313e-14
Chronological >2018,Random Forest | Full DOI,Random Forest | Full DOI + recency,Jsc,Device-level,9116,1735,0.5098637117319664,0.5098637117319664,0.0,2.6574708520031525,2.6574708520031525,0.0,3.712488547892122,3.712488547892122,0.0,0.45114989336637285,0.56715331230738,0.4511498933663729,0.56715331230738,-1.1102230246251565e-16,2.220446049250313e-16,2.547884318048162,2.776092006705664,2.547884318048162,2.7760920067056643,-3.3306690738754696e-14,2.220446049250313e-14,3.538220669111651,3.9069586809129384,3.538220669111651,3.9069586809129384,-2.220446049250313e-14,2.220446049250313e-14
