context,condition,candidate,iterations,encoded_features,train_records,test_records,train_DOI,test_DOI,recency_lambda,weight_min,weight_max,weight_effective_N,DOI_total_weight_CV,fit_seconds
rolling_2016,Random Forest rolling selection,frozen RF config,120,384,4548,4971,939,974,0.2,0.08719379583741768,5.218438393783558,2483.813425623768,,1.4049926029983908
rolling_2016,CatBoost rolling selection,depth6_lr0.05_l2-10,347,384,4548,4971,939,974,0.2,0.08719379583741768,5.218438393783558,2483.813425623768,0.1138765170407279,2.413946483997279
rolling_2016,Random Forest rolling selection,frozen RF config,120,384,4548,4971,939,974,0.3,0.08148552747487169,5.3897038906446655,2449.49486909311,,1.4813877390006382
rolling_2016,CatBoost rolling selection,depth6_lr0.05_l2-10,347,384,4548,4971,939,974,0.3,0.08148552747487169,5.3897038906446655,2449.49486909311,0.16337410307538258,2.163539036999282
rolling_2017,Random Forest rolling selection,frozen RF config,120,557,9519,6388,1913,1220,0.0,0.051832854155776265,4.975953998954521,5219.805065832937,,4.476047062002181
rolling_2017,CatBoost rolling selection,depth8_lr0.04_l2-10,530,557,9519,6388,1913,1220,0.0,0.051832854155776265,4.975953998954521,5219.805065832937,6.491224590426159e-17,13.718293707999692
rolling_2017,Random Forest rolling selection,frozen RF config,120,557,9519,6388,1913,1220,0.025,0.052726161409289554,5.061711495291798,5221.626758225517,,4.324235244002921
rolling_2017,CatBoost rolling selection,depth8_lr0.04_l2-10,530,557,9519,6388,1913,1220,0.025,0.052726161409289554,5.061711495291798,5221.626758225517,0.02057557504517826,14.20862040299835
rolling_2017,Random Forest rolling selection,frozen RF config,120,557,9519,6388,1913,1220,0.05,0.05361216732107817,5.146768062823504,5218.973509573212,,4.502045350996923
rolling_2017,CatBoost rolling selection,depth8_lr0.04_l2-10,530,557,9519,6388,1913,1220,0.05,0.05361216732107817,5.146768062823504,5218.973509573212,0.04066975335126059,13.84931072100153
rolling_2017,Random Forest rolling selection,frozen RF config,120,557,9519,6388,1913,1220,0.1,0.055360991898207916,5.31465522222796,5201.595704805671,,4.316169405003166
rolling_2017,CatBoost rolling selection,depth8_lr0.04_l2-10,530,557,9519,6388,1913,1220,0.1,0.055360991898207916,5.31465522222796,5201.595704805671,0.07952189604100214,13.886157163000462
rolling_2017,Random Forest rolling selection,frozen RF config,120,557,9519,6388,1913,1220,0.15,0.05707690280689321,5.4793826694617485,5170.2199358193775,,4.371521478999057
rolling_2017,CatBoost rolling selection,depth8_lr0.04_l2-10,530,557,9519,6388,1913,1220,0.15,0.05707690280689321,5.4793826694617485,5170.2199358193775,0.11673428889903277,14.618543391999992
rolling_2017,Random Forest rolling selection,frozen RF config,120,557,9519,6388,1913,1220,0.2,0.05875771346289341,5.640740492437767,5127.167057358816,,4.523563434999232
rolling_2017,CatBoost rolling selection,depth8_lr0.04_l2-10,530,557,9519,6388,1913,1220,0.2,0.05875771346289341,5.640740492437767,5127.167057358816,0.15243865757063962,14.037287326998921
rolling_2017,Random Forest rolling selection,frozen RF config,120,557,9519,6388,1913,1220,0.3,0.062006547219956194,5.952628533115795,5014.270941188006,,4.403026562999003
rolling_2017,CatBoost rolling selection,depth8_lr0.04_l2-10,530,557,9519,6388,1913,1220,0.3,0.062006547219956194,5.952628533115795,5014.270941188006,0.2197067747500122,13.856897957997717
