comparison_type,target,unit,domain_type,domain,comparison,metric,estimate,CI_low,CI_high,CI_excludes_zero,domain_DOI,reference_DOI,inferential_eligible
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Pb+Sn,chronological - DOI-grouped,mean_feature_OOD_percentile,0.07469995750602021,0.041935878035980374,0.11187896824296993,True,25,25,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Pb+Sn,chronological - DOI-grouped,high_feature_OOD_fraction,0.12444444444444444,0.005840643274853802,0.2778333333333333,True,25,25,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Pb+Sn,chronological - DOI-grouped,coverage_90,0.014444444444444371,-0.05833741830065372,0.12004082722832714,False,25,25,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Pb+Sn,chronological - DOI-grouped,interval_90_mean_width,-0.25980022267112624,-1.2469821936912355,0.5862896488747641,False,25,25,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Other/unknown,chronological - DOI-grouped,MAE,-0.09958279748366294,-0.21013343759018877,0.006075678904011632,False,25,25,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Other/unknown,chronological - DOI-grouped,bias,-0.11845893475752217,-0.24701287916721845,-0.0042848794549420165,True,25,25,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Other/unknown,chronological - DOI-grouped,RMSE,0.037723232666274864,-0.2631776079806946,0.12657717503129945,False,25,25,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Other/unknown,chronological - DOI-grouped,R2,-0.010285605794792207,-0.021975929471265664,0.9293741761320705,False,25,25,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Other/unknown,chronological - DOI-grouped,mean_feature_OOD_percentile,0.03559144604621145,-0.006607192074769991,0.09215760784950086,False,25,25,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Other/unknown,chronological - DOI-grouped,high_feature_OOD_fraction,0.13333333333333341,-0.029509803921568628,0.3148467432950191,False,25,25,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Other/unknown,chronological - DOI-grouped,coverage_90,0.0,0.0,0.0,False,25,25,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Other/unknown,chronological - DOI-grouped,interval_90_mean_width,-0.059601894622858254,-0.7670306147561791,0.530254296111159,False,25,25,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Other/unknown,chronological - DOI-grouped,MAE,-0.01453301595903489,-0.08390014214575023,0.06324081966700146,False,12,12,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Other/unknown,chronological - DOI-grouped,bias,0.037281116112553234,-0.06958536341997011,0.14736051812856377,False,12,12,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Other/unknown,chronological - DOI-grouped,RMSE,-0.02432156658075524,-0.09665106960751006,0.06978301427672802,False,12,12,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Other/unknown,chronological - DOI-grouped,R2,0.08245821631272698,-0.2582537741631557,0.4581707809685415,False,12,12,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Other/unknown,chronological - DOI-grouped,mean_feature_OOD_percentile,0.09693207105442425,0.016639677649072218,0.2019284018573247,True,12,12,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Other/unknown,chronological - DOI-grouped,high_feature_OOD_fraction,0.375,0.128125,0.6875,True,12,12,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Other/unknown,chronological - DOI-grouped,coverage_90,0.0,0.0,0.0,False,12,12,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Other/unknown,chronological - DOI-grouped,interval_90_mean_width,0.545627923559115,0.2872447575158662,0.7485631625282989,True,12,12,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Pb (no Sn),chronological - DOI-grouped,MAE,0.7652442328373956,0.5927301412985828,0.9457295364534496,True,159,159,True
