scheme,domain_type,domain,records,DOI,descriptive_eligible,inferential_eligible,mean_measured,mean_measured_CI_low,mean_measured_CI_high,mean_predicted,mean_predicted_CI_low,mean_predicted_CI_high,MAE,MAE_CI_low,MAE_CI_high,bias,bias_CI_low,bias_CI_high,RMSE,RMSE_CI_low,RMSE_CI_high
DOI-grouped 5-fold,A x B domain,FA+MA / Pb+Sn,1,1,False,False,21.1,,,14.87888035284394,,,6.221119647156062,,,-6.221119647156062,,,6.221119647156062,,
DOI-grouped 5-fold,A x B domain,FA+MA+Cs / Pb (no Sn),168,94,True,True,20.64666666666667,20.55273783969728,20.75235136916836,16.97154908161645,16.654750015095576,17.29049788534512,3.6751175850502205,3.3346263098267173,4.021341162589253,-3.6751175850502205,-4.021341162589253,-3.3346263098267173,4.06875582544453,3.6240137865046713,4.478944449693858
DOI-grouped 5-fold,A x B domain,FA+MA+Cs / Pb+Sn,1,1,False,False,20.8,,,9.25314322523802,,,11.54685677476198,,,-11.54685677476198,,,11.54685677476198,,
DOI-grouped 5-fold,A x B domain,MA (no FA/Cs) / Pb (no Sn),115,74,True,True,20.45457754182754,20.36947659043442,20.535763854679807,15.104073826689268,14.631993697295734,15.539727622908455,5.350503715138276,4.895647547006634,5.851279577013012,-5.350503715138276,-5.851279577013012,-4.895647547006634,5.737291358865166,5.2027656769213175,6.35096793256284
DOI-grouped 5-fold,A x B domain,MA+Cs / Pb (no Sn),1,1,False,False,20.46,,,15.20115996133006,,,5.258840038669941,,,-5.258840038669941,,,5.258840038669941,,
DOI-grouped 5-fold,A x B domain,Other/unknown / Other/unknown,1,1,False,False,24.82,,,9.89978299401146,,,14.92021700598854,,,-14.92021700598854,,,14.92021700598854,,
Chronological >2018,A-site pattern,MA (no FA/Cs),115,74,True,True,20.45457754182754,20.36947659043442,20.535763854679807,14.449471555692753,13.976553244318069,14.912770706728754,6.0051059861347875,5.540003743655118,6.485907967539582,-6.0051059861347875,-6.485907967539582,-5.540003743655118,6.35742857367164,5.827964340548686,6.896058249237835
Chronological >2018,A-site pattern,FA (no MA/Cs),39,8,True,False,20.757427631578945,20.279958333333333,21.27035803571428,12.718883837300607,11.845870819972207,13.59218937051753,8.03854379427834,7.06255681689521,9.040882206547861,-8.03854379427834,-9.040882206547861,-7.06255681689521,8.152706007251771,7.153147402807212,9.094380457057225
Chronological >2018,A-site pattern,FA+MA,187,81,True,True,20.8100711601871,20.69472056097158,20.9391070766732,16.13956577305024,15.812893987242182,16.46169858099557,4.6705053871368625,4.339537453130391,5.012173766898138,-4.6705053871368625,-5.012173766898138,-4.339537453130391,4.9164613243861055,4.588866691211502,5.254066089910343
Chronological >2018,A-site pattern,FA+Cs,17,8,True,False,20.714916666666667,20.443270833333333,20.991684999999997,16.242092894378622,14.724690459160223,17.700131448331085,4.472823772288045,3.021957196917557,6.072527153112678,-4.472823772288045,-6.072527153112678,-3.021957196917558,4.9679136729990265,3.2559210904290214,6.4702631237046315
Chronological >2018,A-site pattern,MA+Cs,1,1,False,False,20.46,,,15.632538552058142,,,4.827461447941859,,,-4.827461447941859,,,4.827461447941859,,
